topic,時間,狀態
501classroom,2024-08-24 11:41:42,true
501classroom,2024-08-24 11:41:44,false
501classroom,2024-08-24 11:41:46,true
501classroom,2024-08-24 11:41:50,false
501classroom,2024-08-24 14:40:53,true
501classroom,2024-08-24 14:40:53,false
501classroom,2024-08-24 14:40:53,true
501classroom,2024-08-24 14:40:53,false
501classroom,2024-08-24 14:40:53,true
501classroom,2024-08-24 14:40:53,false
501classroom,2024-08-24 14:40:53,true
501classroom,2024-08-24 14:40:55,false
501classroom,2024-08-24 14:40:57,true
501classroom,2024-08-24 14:41:00,false
501classroom,2024-08-24 14:41:58,true
501classroom,2024-08-24 14:41:58,false
501classroom,2024-08-24 14:42:02,true
501classroom,2024-08-24 14:42:03,false
501classroom,2024-08-24 14:42:03,true
501classroom,2024-08-24 14:42:04,false
501classroom,2024-08-24 15:29:51,true
501classroom,2024-08-24 15:29:59,false
501classroom,2024-08-24 15:30:02,true
501classroom,2024-08-24 15:30:02,false
501classroom,2024-08-24 15:30:02,true
501classroom,2024-08-24 15:30:02,false
501classroom,2024-08-24 15:30:02,true
501classroom,2024-08-24 15:57:31,true
501classroom,2024-08-24 15:57:33,false
